year,United States,Russia,China,Japan,United Kingdom,India,Canada,Germany,France
2018,43.9,5,15.5,3.3,3.5,4,1.1,2.9,4
2019,44,5,15.5,3.3,3.5,4,1.1,3,4
2020,43.6,4.9,15.3,3.3,3.4,4,1.1,2.9,4
2021,43,4.8,14.9,3.2,3.3,3.9,1.1,2.8,3.9
2022,46.9,5.6,17.3,3.7,3.9,4.5,1.2,3.3,4.5
2023,47.8,5.7,17.7,3.8,4,4.6,1.2,3.4,4.6
2024,48,5.7,17.7,3.8,4,4.6,1.2,3.4,4.6
2025,49.2,5.9,18.2,3.9,4.1,4.7,1.3,3.5,4.7
2026,52.6,6.3,19.4,4.2,4.4,5.1,1.4,3.7,5
2027,55.2,6.6,20.4,4.4,4.6,5.3,1.4,3.9,5.3
2028,56.1,6.7,20.7,4.4,4.6,5.4,1.5,4,5.4
2029,59.2,7,21.9,4.7,4.9,5.7,1.5,4.2,5.7
2030,62.1,7.4,23,4.9,5.1,6,1.6,4.4,5.9
2031,64,7.6,23.6,5.1,5.3,6.1,1.7,4.5,6.1
2032,66.6,7.9,24.6,5.3,5.5,6.4,1.7,4.7,6.4
2033,69.5,8.3,25.7,5.5,5.8,6.7,1.8,4.9,6.6
2034,72.4,8.6,26.8,5.7,6,7,1.9,5.1,6.9
2035,75.6,9,27.9,6,6.3,7.3,2,5.3,7.2
2036,78.8,9.4,29.1,6.2,6.5,7.6,2.1,5.6,7.5
2037,82.3,9.8,30.4,6.5,6.8,7.9,2.1,5.8,7.9
2038,85.8,10.2,31.7,6.8,7.1,8.2,2.2,6.1,8.2
2039,89.6,10.7,33.1,7.1,7.4,8.6,2.3,6.3,8.6
2040,93.5,11.1,34.5,7.4,7.7,9,2.4,6.6,9
